trackid,source,dis,calorie,end_time,run_time,avg_pace,avg_frequency,avg_heart_rate,type,location,city,forefoot_ratio,bind_device,max_pace,min_pace,version,altitude_ascend,altitude_descend,total_step,avg_stride_length,max_frequency,max_altitude,min_altitude,lap_distance,sync_to,distance_ascend,max_cadence,avg_cadence,landing_time,flight_ratio,climb_dis_descend,climb_dis_ascend_time,climb_dis_descend_time,child_list,parent_trackid,max_heart_rate,min_heart_rate,swolf,total_strokes,total_trips,avg_stroke_speed,max_stroke_speed,avg_distance_per_stroke,swim_pool_length,te,swim_style,unit,add_info,sport_mode,downhill_num,downhill_max_altitude_desend,strokes,fore_hand,back_hand,serve,second_half_start_time,pb,rope_skipping_count,rope_skipping_avg_frequency,rope_skipping_max_frequency,rope_skipping_rest_time,left_landing_time,left_flight_ratio,right_landing_time,right_flight_ratio,marathon,model,situps,downstairs_floors,downstairs_height,min_pressure,avg_temperature,max_temperature,min_temperature,exercise_load,total_swing,average_beat,average_up_time,average_down_time,average_angle,average_score,average_power,max_power,work_value,strength_training_group,freestyle_length,breast_stroke_length,butterfly_length,back_stroke_length,medley_length,other_stroke_length,sport_title,averageAirTemp,highestAirTemp,lowestAirTemp,feature,useDEM,bestRTPC,worstRTPC,averageRTPC,averageGlideRatio,difficultySystem,highestDifficulty,runningType,dailyPlanFinished,degreeOfCompletion,runningProgram,waterType,fusionSuccess,needFusion,hyroxRace,strengthScores,createTime,updateTime,originSummary,weatherInfo,totalScore,bestHole,totalputts,scoringMethod,totalStrokes,crossfitContent,anaerobic_te,target_type,target_value,total_group,devicesource,deviceid,sn,spo2_max,spo2_min,avg_altitude,max_slope,avg_slope,avg_pulloar_time,avg_return_time,floor_number,upstairs_height,min_upstairs_floors,accumulated_gap,auto_recognition,app_name,pause_time,heartrate_setting_type,rpe,heart_range,number_of_break,max_pressure,avg_pressure,course_title,VO2_max,lactateThresholdUpdateFlag,thirdPartyDataSource,thirdPartyWorkoutId,displayType,weight,highPrecisionDistance,completionTime,dailyScore,date
1775216454,run.8388865.huami.com,6720.0,521.0,1775218902,2448,0.364286,154.0,158.0,8,eycef5u5x9dm,,-1,0:MILI:8388865:0.110.18.2,0.244582,0.0,16,-1,-1,6278,107,164,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,180,124,-1,-1,-1,-1.0,-1.0,-1.0,-1,36,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,154,164,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,160,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775244297924,1775244297924,,,0,0,0,0,0,,5,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;116,132;377,151;1686,170;248,189",-1,-1,-1,,-1,,,,,,,,,2026-04-03 11:40:54
1775068997,run.8388865.huami.com,0.0,150.0,1775069939,942,0.0,0.0,131.0,16,eycef4ceyxfn,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,163,110,-1,-1,-1,-1.0,-1.0,-1.0,-1,20,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,27,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775071092370,1775071092370,,,0,0,0,0,0,,3,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;25,113;535,132;269,151;92,170;0,189",-1,-1,-1,,-1,,,,0.0,,,,,2026-04-01 18:43:17
1775067099,run.8388865.huami.com,5000.0,371.0,1775068953,1854,0.3708,153.0,151.0,8,eycef4ceyxfn,,-1,0:MILI:8388865:0.110.18.2,0.329498,0.0,16,-1,-1,4722,105,160,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,167,105,-1,-1,-1,-1.0,-1.0,-1.0,-1,31,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,153,160,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,99,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775071092906,1775071092906,,,0,0,0,0,0,,1,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;6,113;150,132;567,151;1111,170;0,189",-1,-1,-1,,-1,,,,,,,,,2026-04-01 18:11:39
1774982444,run.8388865.huami.com,6000.0,455.0,1774984695,2251,0.375167,152.0,153.0,8,eycef5u5x949,,-1,0:MILI:8388865:0.110.18.2,0.311155,0.0,16,-1,-1,5706,105,164,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,173,127,-1,-1,-1,-1.0,-1.0,-1.0,-1,32,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,152,164,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,105,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1774999467526,1774999467526,,,0,0,0,0,0,,1,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;2,132;842,151;1372,170;13,189",-1,-1,-1,,-1,,,,,,,,,2026-03-31 18:40:44
1774010051,run.8388865.huami.com,0.0,127.0,1774010836,785,0.0,0.0,133.0,16,eycef5u5x2rh,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,154,118,-1,-1,-1,-1.0,-1.0,-1.0,-1,17,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,25,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1774027888332,1774027888332,,,0,0,0,0,0,,2,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;390,132;360,151;14,170;0,189",-1,-1,-1,,-1,,,,0.0,,,,,2026-03-20 12:34:11
1774006043,run.8388865.huami.com,10190.0,904.0,1774010003,3960,0.388616,154.0,165.0,8,eycef5u5x2rh,,-1,0:MILI:8388865:0.110.18.2,0.222451,0.0,16,-1,-1,10167,100,160,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,185,124,-1,-1,-1,-1.0,-1.0,-1.0,-1,43,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,154,160,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,250,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1774027890461,1774027890461,,,0,0,0,0,0,,23,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;47,132;337,151;2027,170;1527,189",-1,-1,-1,,-1,,,,,,,,,2026-03-20 11:27:23
1773923950,run.8388865.huami.com,0.0,146.0,1773924875,925,0.0,0.0,131.0,16,eycef5gfvdd5,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,167,102,-1,-1,-1,-1.0,-1.0,-1.0,-1,20,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,30,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1773939469434,1773939469434,,,0,0,0,0,0,,6,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;43,113;529,132;247,151;83,170;0,189",-1,-1,-1,,-1,,,,0.0,,,,,2026-03-19 12:39:10
1773922041,run.8388865.huami.com,5010.0,389.0,1773923930,1889,0.377046,154.0,154.0,8,eycef5gfvdd5,,-1,0:MILI:8388865:0.110.18.2,0.218523,0.0,16,-1,-1,4837,103,166,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,179,78,-1,-1,-1,-1.0,-1.0,-1.0,-1,32,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,154,166,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,117,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1773939470482,1773939470482,,,0,0,0,0,0,,2,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"4,94;22,113;124,132;447,151;1118,170;169,189",-1,-1,-1,,-1,,,,,,,,,2026-03-19 12:07:21
1773777833,run.8388865.huami.com,0.0,78.0,1773778374,538,0.0,0.0,125.0,16,eycef5u5x2ne,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,140,111,-1,-1,-1,-1.0,-1.0,-1.0,-1,9,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,13,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1773793799172,1773793799172,,,0,0,0,0,0,,1,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,3,0,,"0,94;38,113;399,132;81,151;0,170;0,189",-1,-1,-1,,-1,,,,0.0,,,,,2026-03-17 20:03:53
1773775969,run.8388865.huami.com,4770.0,390.0,1773777773,1804,0.378197,152.0,160.0,8,eycef5u5x2ne,,-1,0:MILI:8388865:0.110.18.2,0.306519,0.0,16,-1,-1,4556,104,162,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,180,119,-1,-1,-1,-1.0,-1.0,-1.0,-1,32,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,152,162,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,115,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1773793800245,1773793800245,,,0,0,0,0,0,,1,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;49,132;554,151;519,170;659,189",-1,-1,-1,,-1,,,,,,,,,2026-03-17 19:32:49
